split,model,horizon_hours,constraint,seeds,mean,standard_deviation,minimum,maximum
internal_test,grud,12,O2Sat_bounds,1,147.25840948862532,0.0,147.25840948862532,147.25840948862532
internal_test,grud,12,SaO2_bounds,1,61.714952362434374,0.0,61.714952362434374,61.714952362434374
internal_test,grud,12,emitted_FiO2_bounds,1,12.346879253354071,0.0,12.346879253354071,12.346879253354071
internal_test,grud,12,emitted_O2Sat_bounds,1,148.5125413182967,0.0,148.5125413182967,148.5125413182967
internal_test,grud,12,emitted_SaO2_bounds,1,186.89480847754228,0.0,186.89480847754228,186.89480847754228
internal_test,grud,12,emitted_pressure_order,1,151.76939529457516,0.0,151.76939529457516,151.76939529457516
internal_test,grud,12,pressure_order,1,124.68403655454016,0.0,124.68403655454016,124.68403655454016
internal_test,grud,24,FiO2_bounds,1,6.105385961501069,0.0,6.105385961501069,6.105385961501069
internal_test,grud,24,O2Sat_bounds,1,143.40851643009916,0.0,143.40851643009916,143.40851643009916
internal_test,grud,24,SaO2_bounds,1,87.38090608594206,0.0,87.38090608594206,87.38090608594206
internal_test,grud,24,emitted_FiO2_bounds,1,12.531596344545983,0.0,12.531596344545983,12.531596344545983
internal_test,grud,24,emitted_O2Sat_bounds,1,144.85708730313047,0.0,144.85708730313047,144.85708730313047
internal_test,grud,24,emitted_SaO2_bounds,1,184.27960334435156,0.0,184.27960334435156,184.27960334435156
internal_test,grud,24,emitted_pressure_order,1,157.95255687342018,0.0,157.95255687342018,157.95255687342018
internal_test,grud,24,pressure_order,1,138.25588178106165,0.0,138.25588178106165,138.25588178106165
internal_test,hourly_median,1,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,hourly_median,3,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,hourly_median,6,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,hourly_median,12,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,hourly_median,24,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,locf,1,pressure_order,1,44.91541901613844,0.0,44.91541901613844,44.91541901613844
internal_test,locf,3,pressure_order,1,44.91541901613844,0.0,44.91541901613844,44.91541901613844
internal_test,locf,6,pressure_order,1,44.91541901613844,0.0,44.91541901613844,44.91541901613844
internal_test,locf,12,pressure_order,1,44.91541901613844,0.0,44.91541901613844,44.91541901613844
internal_test,locf,24,pressure_order,1,44.91541901613844,0.0,44.91541901613844,44.91541901613844
internal_test,ridge_var,1,pressure_order,1,19.638343379350573,0.0,19.638343379350573,19.638343379350573
internal_test,ridge_var,3,pressure_order,1,11.6663426015944,0.0,11.6663426015944,11.6663426015944
internal_test,ridge_var,6,pressure_order,1,4.277658953917947,0.0,4.277658953917947,4.277658953917947
