split,model,seed,horizon_hours,constraint,violations_per_1000_states
internal_test,transformer,20260912,6,emitted_SaO2_bounds,192.0571650787478
internal_test,transformer,20260912,6,emitted_pressure_order,168.15088469764729
internal_test,transformer,20260912,6,pressure_order,121.42718257826172
internal_test,transformer,20260912,12,FiO2_bounds,7.553956834532374
internal_test,transformer,20260912,12,O2Sat_bounds,163.1149134746257
internal_test,transformer,20260912,12,SaO2_bounds,56.34843476570095
internal_test,transformer,20260912,12,emitted_FiO2_bounds,24.382656037332296
internal_test,transformer,20260912,12,emitted_O2Sat_bounds,163.21213299630566
internal_test,transformer,20260912,12,emitted_SaO2_bounds,183.21991055804008
internal_test,transformer,20260912,12,emitted_pressure_order,181.54773478514485
internal_test,transformer,20260912,12,pressure_order,138.82947695897337
internal_test,transformer,20260912,24,FiO2_bounds,7.884503208244215
internal_test,transformer,20260912,24,O2Sat_bounds,169.25918724479877
internal_test,transformer,20260912,24,SaO2_bounds,77.085358740035
internal_test,transformer,20260912,24,emitted_FiO2_bounds,24.22710480264437
internal_test,transformer,20260912,24,emitted_O2Sat_bounds,169.23002138829477
internal_test,transformer,20260912,24,emitted_SaO2_bounds,171.8452265214855
internal_test,transformer,20260912,24,emitted_pressure_order,201.0402488819755
internal_test,transformer,20260912,24,pressure_order,161.4427377017305
external_test,rssm,20260912,1,FiO2_bounds,0.6042692939244664
external_test,rssm,20260912,1,O2Sat_bounds,12.676518883415437
external_test,rssm,20260912,1,SaO2_bounds,6.431855500821018
external_test,rssm,20260912,1,emitted_FiO2_bounds,0.4351395730706076
external_test,rssm,20260912,1,emitted_O2Sat_bounds,14.274220032840722
external_test,rssm,20260912,1,emitted_SaO2_bounds,136.23316912972086
external_test,rssm,20260912,1,emitted_pressure_order,0.8571428571428571
external_test,rssm,20260912,1,pressure_order,38.41215106732348
external_test,rssm,20260912,3,FiO2_bounds,0.4318555008210181
external_test,rssm,20260912,3,O2Sat_bounds,10.183908045977011
external_test,rssm,20260912,3,SaO2_bounds,18.423645320197043
