model,model_label,variable,observed_targets,nmae_mean,nmae_seed_sd,mae_original_mean,mae_original_seed_sd
locf,LOCF,FiO2,595,1.0498599439775902,0.0,0.1574789915966385,0.0
ridge_var,Ridge VAR,FiO2,595,1.0581437982022204,0.0,0.158721569730333,0.0
rssm,State-space model,FiO2,595,1.2363869900131959,0.0148481621165202,0.1854580485019794,0.002227224317478026
transformer,Masked Transformer,FiO2,595,1.159041170256228,0.01123568245476369,0.17385617553843424,0.001685352368214541
global_median,Global median,Glucose,6714,0.6835263110178602,0.0,31.44221030682157,0.0
grud,GRU-D-style,Glucose,6714,0.6635473116784001,0.0013834992792032593,30.523176337206404,0.06364096684334945
hourly_median,Hourly median,Glucose,6714,0.6886842548341557,0.0,31.67947572237117,0.0
locf,LOCF,Glucose,6714,0.7510175039825931,0.0,34.54680518319928,0.0
ridge_var,Ridge VAR,Glucose,6714,0.6424531994062667,0.0,29.552847172688267,0.0
rssm,State-space model,Glucose,6714,0.7012148423726835,0.003926549095180577,32.255882749143446,0.1806212583783059
transformer,Masked Transformer,Glucose,6714,0.6710720080552728,0.005553187007998958,30.86931237054255,0.25544660236795225
global_median,Global median,HCO3,48,0.4622916666666666,0.0,2.3114583333333334,0.0
grud,GRU-D-style,HCO3,48,0.5561556281211475,0.025946065020265963,2.7807781406057375,0.12973032510132973
hourly_median,Hourly median,HCO3,48,0.5022916666666666,0.0,2.511458333333333,0.0
locf,LOCF,HCO3,48,0.4518749999999999,0.0,2.259375,0.0
ridge_var,Ridge VAR,HCO3,48,0.5001451674946021,0.0,2.5007258374730106,0.0
rssm,State-space model,HCO3,48,0.5125464187857384,0.033154819629211615,2.562732093928692,0.165774098146058
transformer,Masked Transformer,HCO3,48,0.5324547621887177,0.03473499842990889,2.6622738109435886,0.17367499214954463
global_median,Global median,HR,27883,0.6364451457877559,0.0,14.320015780224509,0.0
grud,GRU-D-style,HR,27883,0.4332563727725353,0.00283006616240637,9.748268387382044,0.0636764886541431
hourly_median,Hourly median,HR,27883,0.6355019187318438,0.0,14.298793171466484,0.0
locf,LOCF,HR,27883,0.4419873519109612,0.0,9.944715417996628,0.0
ridge_var,Ridge VAR,HR,27883,0.4374485749858978,0.0,9.8425929371827,0.0
rssm,State-space model,HR,27883,0.6027293232999632,0.015784721069466368,13.561409774249174,0.35515622406299313
transformer,Masked Transformer,HR,27883,0.4288137521129151,0.004878924999886183,9.648309422540589,0.10977581249743895
global_median,Global median,Hct,1570,0.8345463088649883,0.0,5.09073248407643,0.0
grud,GRU-D-style,Hct,1570,0.5015545457354775,0.0027954613969093474,3.0594827289864144,0.017052314521147124
hourly_median,Hourly median,Hct,1570,0.8215464132818204,0.0,5.011433121019106,0.0
locf,LOCF,Hct,1570,0.4957293515714731,0.0,3.0239490445859865,0.0
ridge_var,Ridge VAR,Hct,1570,0.5074706210974871,0.0,3.0955707886946717,0.0
rssm,State-space model,Hct,1570,0.8014159144290314,0.015118012672132189,4.8886370780170925,0.09221987730000655
transformer,Masked Transformer,Hct,1570,0.49928187531460627,0.009515636178075946,3.0456194394190987,0.058045380686263644
global_median,Global median,Hgb,1603,0.8406255316735666,0.0,1.8493761696818456,0.0
grud,GRU-D-style,Hgb,1603,0.5378886606699961,0.014095380658992653,1.183355053473991,0.031009837449783795
hourly_median,Hourly median,Hgb,1603,0.8114472863381167,0.0,1.7851840299438562,0.0
locf,LOCF,Hgb,1603,0.48051948051948,0.0,1.0571428571428558,0.0
ridge_var,Ridge VAR,Hgb,1603,0.523850571563189,0.0,1.1524712574390157,0.0
rssm,State-space model,Hgb,1603,0.8073145391834355,0.010716777575192269,1.7760919862035576,0.023576910665423022
transformer,Masked Transformer,Hgb,1603,0.5092493877474844,0.012910550035179394,1.1203486530444653,0.028403210077394613
global_median,Global median,MAP,27196,0.7493845844203095,0.0,14.23830710398588,0.0
grud,GRU-D-style,MAP,27196,0.5354465491176617,0.0036046223205394618,10.17348443323557,0.06848782409024957
hourly_median,Hourly median,MAP,27196,0.7424773379986224,0.0,14.107069421973826,0.0
locf,LOCF,MAP,27196,0.6119320952771692,0.0,11.626709810266217,0.0
ridge_var,Ridge VAR,MAP,27196,0.5989118825095031,0.0,11.37932576768056,0.0
rssm,State-space model,MAP,27196,0.6540682287913313,0.011299364694247898,12.427296347035295,0.21468792919071022
transformer,Masked Transformer,MAP,27196,0.5434818581511544,0.006090575840026105,10.326155304871932,0.11572094096049584
global_median,Global median,Magnesium,1398,0.6605865522174543,0.0,0.2642346208869818,0.0
grud,GRU-D-style,Magnesium,1398,0.6016981961814493,0.009018693015805252,0.24067927847257975,0.0036074772063221126
hourly_median,Hourly median,Magnesium,1398,0.6459227467811162,0.0,0.2583690987124465,0.0
locf,LOCF,Magnesium,1398,0.6592453505007159,0.0,0.2636981402002864,0.0
ridge_var,Ridge VAR,Magnesium,1398,0.5665644322843548,0.0,0.226625772913742,0.0
rssm,State-space model,Magnesium,1398,0.6758393307610845,0.014895129490239075,0.27033573230443386,0.0059580517960956215
transformer,Masked Transformer,Magnesium,1398,0.6019954027004476,0.004328640272780785,0.24079816108017912,0.0017314561091123322
global_median,Global median,O2Sat,27226,0.6306576696645013,0.0,2.207301843825755,0.0
grud,GRU-D-style,O2Sat,27226,0.5749398809539609,0.01595611278261926,2.0122895833388634,0.05584639473916739
hourly_median,Hourly median,O2Sat,27226,0.6246864866566623,0.0,2.186402703298318,0.0
locf,LOCF,O2Sat,27226,0.6004187174024829,0.0,2.10146551090869,0.0
ridge_var,Ridge VAR,O2Sat,27226,0.5797736470196474,0.0,2.029207764568766,0.0
rssm,State-space model,O2Sat,27226,0.6230884741083491,0.0035805886937054507,2.1808096593792223,0.012532060427968977
transformer,Masked Transformer,O2Sat,27226,0.5591962534123984,0.0106405592193177,1.9571868869433946,0.03724195726761201
global_median,Global median,PaCO2,552,0.776821658615137,0.0,6.991394927536232,0.0
grud,GRU-D-style,PaCO2,552,0.7420159853799133,0.017269722858566056,6.67814386841922,0.15542750572709424
hourly_median,Hourly median,PaCO2,552,0.7796799516908215,0.0,7.017119565217394,0.0
locf,LOCF,PaCO2,552,0.7245672302737521,0.0,6.52110507246377,0.0
ridge_var,Ridge VAR,PaCO2,552,0.676532045792838,0.0,6.088788412135542,0.0
rssm,State-space model,PaCO2,552,0.7761091824482613,0.006511442537025049,6.9849826420343515,0.05860298283322544
transformer,Masked Transformer,PaCO2,552,0.7427046748445086,0.010458601892932462,6.684342073600577,0.09412741703639234
global_median,Global median,Phosphate,835,0.6709780439121761,0.0,1.0064670658682642,0.0
grud,GRU-D-style,Phosphate,835,0.5428349525530538,0.009276714242115887,0.8142524288295807,0.013915071363173787
hourly_median,Hourly median,Phosphate,835,0.6647904191616768,0.0,0.9971856287425152,0.0
locf,LOCF,Phosphate,835,0.5702594810379246,0.0,0.8553892215568868,0.0
ridge_var,Ridge VAR,Phosphate,835,0.5418770342205771,0.0,0.8128155513308657,0.0
rssm,State-space model,Phosphate,835,0.654951916586853,0.008206155021645355,0.9824278748802797,0.012309232532468047
transformer,Masked Transformer,Phosphate,835,0.5446693203111966,0.012996242090119556,0.8170039804667949,0.019494363135179247
global_median,Global median,Platelets,1443,0.6368127743127744,0.0,76.41753291753292,0.0
grud,GRU-D-style,Platelets,1443,0.28738065610122776,0.007098761543126556,34.485678732147335,0.8518513851751875
hourly_median,Hourly median,Platelets,1443,0.6315199815199815,0.0,75.78239778239778,0.0
locf,LOCF,Platelets,1443,0.2583246708246708,0.0,30.9989604989605,0.0
ridge_var,Ridge VAR,Platelets,1443,0.2958958204394141,0.0,35.50749845272969,0.0
rssm,State-space model,Platelets,1443,0.6436188837429425,0.011950966948542443,77.23426604915309,1.4341160338250865
transformer,Masked Transformer,Platelets,1443,0.28290411094545653,0.011475013636851506,33.94849331345479,1.3770016364221755
global_median,Global median,Potassium,2122,0.6143597684125505,0.0,0.4300518378887854,0.0
grud,GRU-D-style,Potassium,2122,0.564681753853264,0.009174372925905927,0.3952772276972849,0.0064220610481341605
hourly_median,Hourly median,Potassium,2122,0.6050289484314005,0.0,0.4235202639019805,0.0
locf,LOCF,Potassium,2122,0.6296351151205072,0.0,0.4407445805843552,0.0
ridge_var,Ridge VAR,Potassium,2122,0.5412811923671925,0.0,0.3788968346570348,0.0
rssm,State-space model,Potassium,2122,0.6190244006805832,0.006453472239668456,0.43331708047640827,0.004517430567767906
transformer,Masked Transformer,Potassium,2122,0.5771679677118342,0.009732001950662372,0.4040175773982841,0.006812401365463658
global_median,Global median,Resp,25030,0.5166999600479425,0.0,3.6168997203355975,0.0
grud,GRU-D-style,Resp,25030,0.4747223464670155,0.0026621667829021586,3.323056425269108,0.018635167480315195
hourly_median,Hourly median,Resp,25030,0.5165301638034359,0.0,3.6157111466240512,0.0
locf,LOCF,Resp,25030,0.5543690428628503,0.0,3.880583300039952,0.0
ridge_var,Ridge VAR,Resp,25030,0.4816657098903453,0.0,3.3716599692324176,0.0
rssm,State-space model,Resp,25030,0.5155811633541734,0.006297815484745977,3.609068143479214,0.04408470839322182
transformer,Masked Transformer,Resp,25030,0.4790037133814666,0.01070017496335899,3.353025993670266,0.07490122474351302
global_median,Global median,SBP,27367,0.7205541282415393,0.0,20.89606971900464,0.0
grud,GRU-D-style,SBP,27367,0.5324527441346703,0.0029257067170153283,15.441129579905436,0.08484549479344466
hourly_median,Hourly median,SBP,27367,0.7091919666651127,0.0,20.56656703328827,0.0
locf,LOCF,SBP,27367,0.605676280141071,0.0,17.56461212409106,0.0
ridge_var,Ridge VAR,SBP,27367,0.5771497219461775,0.0,16.737341936439147,0.0
