model,horizon_hours,quantity_type,quantity,minimum,maximum,absolute_range,relative_range_percent,sample_counts
transformer,6,metric,coverage_90,0.8529027726783003,0.9069287970341056,0.05402602435580528,6.1100159559218,"20,50,100"
transformer,6,metric,mask_brier,0.05995849251070187,0.06026498213969071,0.00030648962898884025,0.5099906879433538,"20,50,100"
transformer,6,metric,mean_interval_width_scaled,1.8477662325836297,2.0667322200234097,0.21896598743978002,11.084654939716456,"20,50,100"
transformer,6,metric,patient_crps,0.3488439251609972,0.36378363956853194,0.014939714407534721,4.206458674026227,"20,50,100"
transformer,6,metric,patient_nll,0.9960748370424933,1.0490670587532547,0.052992221710761345,5.187886008129412,"20,50,100"
transformer,6,metric,patient_nmae,0.4796672483003199,0.491741182691651,0.012073934391331087,2.491063186131243,"20,50,100"
transformer,12,metric,coverage_90,0.863157180771903,0.919534582301224,0.056377401529321025,6.297445486923102,"20,50,100"
transformer,12,metric,mask_brier,0.062453416972205654,0.06281576944794082,0.0003623524757351629,0.5782505099466985,"20,50,100"
transformer,12,metric,mean_interval_width_scaled,2.0493363805833122,2.284370672430277,0.23503429184696456,10.751582483066178,"20,50,100"
transformer,12,metric,patient_crps,0.36517617959688786,0.3808060473180319,0.015629867721144053,4.207221590453508,"20,50,100"
transformer,12,metric,patient_nll,1.0599357887589895,1.1257638921828772,0.06582810342388767,6.063014828535076,"20,50,100"
transformer,12,metric,patient_nmae,0.5020466489655364,0.515732318721793,0.013685669756256624,2.696847777023176,"20,50,100"
transformer,24,metric,coverage_90,0.8758754829889628,0.925191051618858,0.04931556862989517,5.443985346975746,"20,50,100"
transformer,24,metric,mask_brier,0.0677962744267174,0.06827906619114528,0.0004827917644278784,0.7100867286124852,"20,50,100"
transformer,24,metric,mean_interval_width_scaled,2.2605796064765826,2.5227030240187074,0.26212341754212476,10.863080723245247,"20,50,100"
transformer,24,metric,patient_crps,0.383084144191466,0.40096615658549434,0.017882012394028313,4.578272697216828,"20,50,100"
transformer,24,metric,patient_nll,1.0675014518795851,1.105964187285549,0.0384627354059639,3.552706674275097,"20,50,100"
transformer,24,metric,patient_nmae,0.5254734529174572,0.5424560949898289,0.016982642072371767,3.1889953517753775,"20,50,100"
grud,1,constraint,FiO2_bounds,1.3720642768850433,1.6440049443757725,0.2719406674907292,17.765814266487208,"20,50,100"
grud,1,constraint,O2Sat_bounds,115.14215080346106,118.61557478368356,3.473423980222492,2.96543839591944,"20,50,100"
grud,1,constraint,SaO2_bounds,6.9221260815822,7.527812113720643,0.6056860321384425,8.404802744425387,"20,50,100"
grud,1,constraint,emitted_FiO2_bounds,16.526576019777504,17.24351050679852,0.7169344870210139,4.241316270566729,"20,50,100"
grud,1,constraint,emitted_O2Sat_bounds,127.96662546353522,130.35846724351052,2.3918417799752945,1.850228688903421,"20,50,100"
grud,1,constraint,emitted_SaO2_bounds,197.43510506798518,199.17799752781212,1.7428924598269475,0.8780670070992653,"20,50,100"
grud,1,constraint,emitted_pressure_order,94.65389369592089,95.7972805933251,1.1433868974042127,1.1995072294625015,"20,50,100"
grud,1,constraint,pressure_order,85.53770086526576,86.38442521631644,0.8467243510506819,0.9863921088631313,"20,50,100"
grud,3,constraint,FiO2_bounds,2.4412855377008653,2.6328800988875156,0.1915945611866503,7.500000000000004,"20,50,100"
grud,3,constraint,O2Sat_bounds,125.3831891223733,128.77626699629172,3.393077873918429,2.665134794006287,"20,50,100"
grud,3,constraint,SaO2_bounds,18.26328800988875,19.011124845488258,0.7478368355995073,4.038718291054749,"20,50,100"
grud,3,constraint,emitted_FiO2_bounds,14.684796044499382,15.543881334981458,0.859085290482076,5.643524157531463,"20,50,100"
grud,3,constraint,emitted_O2Sat_bounds,127.16934487021014,130.7416563658838,3.5723114956736737,2.768420212341345,"20,50,100"
grud,3,constraint,emitted_SaO2_bounds,192.80593325092707,198.59085290482076,5.784919653893695,2.9597461870078945,"20,50,100"
grud,3,constraint,emitted_pressure_order,107.91100123609394,109.87639060568603,1.9653893695920885,1.8047673098751416,"20,50,100"
grud,3,constraint,pressure_order,108.86897404202719,110.716934487021,1.8479604449938165,1.6863121087361093,"20,50,100"
grud,6,constraint,FiO2_bounds,3.547589616810878,3.5970333745364647,0.049443757725586845,1.3864818024263346,"20,50,100"
grud,6,constraint,O2Sat_bounds,124.2027194066749,126.88504326328801,2.6823238566131096,2.129364625071557,"20,50,100"
grud,6,constraint,SaO2_bounds,30.87762669962917,32.47218788627936,1.5945611866501856,5.024342745861733,"20,50,100"
grud,6,constraint,emitted_FiO2_bounds,13.92459826946848,14.46229913473424,0.5377008652657604,3.811331775700937,"20,50,100"
grud,6,constraint,emitted_O2Sat_bounds,124.79604449938195,127.58343634116193,2.7873918417799786,2.20250691844376,"20,50,100"
grud,6,constraint,emitted_SaO2_bounds,189.9752781211372,194.40049443757727,4.425216316440071,2.303065392904254,"20,50,100"
grud,6,constraint,emitted_pressure_order,121.70580964153275,123.39925834363412,1.6934487021013638,1.3814429524561818,"20,50,100"
grud,6,constraint,pressure_order,124.98145859085291,128.35599505562422,3.3745364647713103,2.661251015434596,"20,50,100"
grud,12,constraint,FiO2_bounds,4.5364647713226205,5.222496909765142,0.6860321384425214,14.347264110297282,"20,50,100"
grud,12,constraint,O2Sat_bounds,124.00494437577255,126.45241038318912,2.4474660074165655,1.9562639968383624,"20,50,100"
grud,12,constraint,SaO2_bounds,50.203955500618044,52.43510506798517,2.231149567367126,4.343815177282219,"20,50,100"
grud,12,constraint,emitted_FiO2_bounds,13.349814585908529,13.739184177997528,0.3893695920889986,2.8658074298711127,"20,50,100"
grud,12,constraint,emitted_O2Sat_bounds,124.62299134734239,127.6885043263288,3.065512978986405,2.43583027763227,"20,50,100"
grud,12,constraint,emitted_SaO2_bounds,185.7911001236094,187.10754017305314,1.3164400494437416,0.7064676616915337,"20,50,100"
grud,12,constraint,emitted_pressure_order,142.15080346106305,143.51668726823237,1.3658838071693253,0.9576358095127909,"20,50,100"
grud,12,constraint,pressure_order,145.05562422744129,147.97280593325092,2.9171817058096394,1.9894905442998834,"20,50,100"
grud,24,constraint,FiO2_bounds,5.531520395550062,6.273176761433869,0.7416563658838076,12.802275960170704,"20,50,100"
grud,24,constraint,O2Sat_bounds,124.15327564894932,125.30902348578492,1.1557478368356016,0.9276867362293932,"20,50,100"
grud,24,constraint,SaO2_bounds,77.24969097651422,78.8133498145859,1.5636588380716887,1.999420457838302,"20,50,100"
grud,24,constraint,emitted_FiO2_bounds,13.294190358467244,14.369592088998765,1.0754017305315209,7.866184448462932,"20,50,100"
grud,24,constraint,emitted_O2Sat_bounds,124.69715698393078,126.26699629171817,1.5698393077873902,1.250307654442529,"20,50,100"
grud,24,constraint,emitted_SaO2_bounds,183.23856613102595,186.8355995055624,3.5970333745364655,1.9488129652986288,"20,50,100"
grud,24,constraint,emitted_pressure_order,162.45982694684795,164.43139678615574,1.97156983930779,1.2045311516677173,"20,50,100"
grud,24,constraint,pressure_order,167.07045735475896,169.283065512979,2.2126081582200356,1.3132313561498172,"20,50,100"
rssm,1,constraint,FiO2_bounds,0.580964153275649,0.6056860321384425,0.024721878862793534,4.181184668989541,"20,50,100"
rssm,1,constraint,O2Sat_bounds,12.6885043263288,13.349814585908529,0.6613102595797287,5.076704096156892,"20,50,100"
rssm,1,constraint,SaO2_bounds,6.353522867737948,6.798516687268233,0.4449938195302847,6.775407779171902,"20,50,100"
rssm,1,constraint,emitted_FiO2_bounds,0.38936959208899874,0.5562422744128553,0.1668726823238566,37.15596330275229,"20,50,100"
rssm,1,constraint,emitted_O2Sat_bounds,14.097651421508035,15.049443757725587,0.9517923362175527,6.542056074766356,"20,50,100"
rssm,1,constraint,emitted_SaO2_bounds,135.65512978986402,136.77379480840543,1.1186650185414067,0.8222912092072369,"20,50,100"
rssm,1,constraint,emitted_pressure_order,0.4326328800988875,0.7169344870210136,0.2843016069221261,51.111111111111114,"20,50,100"
rssm,1,constraint,pressure_order,34.88875154511743,36.32880098887515,1.4400494437577223,4.044904808749484,"20,50,100"
rssm,3,constraint,FiO2_bounds,0.4820766378244747,0.6180469715698393,0.13597033374536466,24.17582417582418,"20,50,100"
rssm,3,constraint,O2Sat_bounds,9.388133498145859,9.604449938195303,0.21631644004944484,2.271252433484762,"20,50,100"
rssm,3,constraint,SaO2_bounds,18.244746600741657,18.757725587144623,0.5129789864029668,2.779328050005582,"20,50,100"
rssm,3,constraint,emitted_FiO2_bounds,0.23485784919653893,0.315203955500618,0.0803461063040791,29.104477611940293,"20,50,100"
rssm,3,constraint,emitted_O2Sat_bounds,9.184177997527811,9.431396786155748,0.24721878862793645,2.6478375992939176,"20,50,100"
rssm,3,constraint,emitted_SaO2_bounds,133.68355995055623,136.1433868974042,2.4598269468479828,1.8282599375268127,"20,50,100"
rssm,3,constraint,emitted_pressure_order,0.49443757725587145,0.5624227441285538,0.0679851668726823,12.890624999999998,"20,50,100"
rssm,3,constraint,pressure_order,15.203955500618047,15.945611866501855,0.7416563658838076,4.733105443071262,"20,50,100"
rssm,6,constraint,FiO2_bounds,0.4573547589616811,0.5686032138442522,0.11124845488257107,21.09375,"20,50,100"
rssm,6,constraint,O2Sat_bounds,7.787391841779975,8.80716934487021,1.0197775030902356,12.54117050924754,"20,50,100"
rssm,6,constraint,SaO2_bounds,34.49320148331273,35.321384425216316,0.8281829419035844,2.3683280311063974,"20,50,100"
rssm,6,constraint,emitted_FiO2_bounds,0.18541409147095178,0.27812113720642767,0.09270704573547589,39.130434782608695,"20,50,100"
rssm,6,constraint,emitted_O2Sat_bounds,7.490729295426452,8.776266996291719,1.2855377008652669,16.132368148914182,"20,50,100"
rssm,6,constraint,emitted_SaO2_bounds,135.90234857849197,136.8974042027194,0.9950556242274331,0.7299049461260574,"20,50,100"
rssm,6,constraint,emitted_pressure_order,0.24721878862793573,0.44499381953028433,0.1977750309023486,58.18181818181817,"20,50,100"
rssm,6,constraint,pressure_order,5.840543881334981,6.402966625463535,0.5624227441285541,9.145728643216087,"20,50,100"
rssm,12,constraint,FiO2_bounds,0.4079110012360939,0.4635352286773795,0.05562422744128559,13.043478260869579,"20,50,100"
rssm,12,constraint,O2Sat_bounds,7.744128553770087,8.776266996291719,1.0321384425216324,12.667509481668784,"20,50,100"
rssm,12,constraint,SaO2_bounds,62.175525339925834,62.336217552533995,0.16069221260816136,0.25809013301568895,"20,50,100"
rssm,12,constraint,emitted_FiO2_bounds,0.11124845488257108,0.18541409147095178,0.0741656365883807,48.64864864864864,"20,50,100"
rssm,12,constraint,emitted_O2Sat_bounds,7.873918417799753,8.80716934487021,0.9332509270704579,11.401963251950672,"20,50,100"
rssm,12,constraint,emitted_SaO2_bounds,140.0,143.67119901112486,3.6711990111248554,2.591321544904613,"20,50,100"
