model,seed,trajectory_samples,patients_requested,patient_subset_sha256,horizon_hours,constraint,violations_per_1000_states
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,emitted_O2Sat_bounds,124.62299134734239
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,emitted_SaO2_bounds,187.10754017305314
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,emitted_pressure_order,142.2249690976514
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,pressure_order,146.86032138442522
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,FiO2_bounds,5.574783683559951
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,O2Sat_bounds,124.15327564894932
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,SaO2_bounds,78.8133498145859
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,emitted_FiO2_bounds,13.349814585908529
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,emitted_O2Sat_bounds,124.69715698393078
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,emitted_SaO2_bounds,186.8355995055624
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,emitted_pressure_order,162.45982694684795
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,pressure_order,167.07045735475896
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,FiO2_bounds,1.6440049443757725
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,O2Sat_bounds,117.63288009888751
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,SaO2_bounds,7.169344870210136
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_FiO2_bounds,16.940667490729297
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_O2Sat_bounds,129.49320148331273
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_SaO2_bounds,199.17799752781212
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_pressure_order,95.7972805933251
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,pressure_order,86.38442521631644
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,FiO2_bounds,2.5896168108776267
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,O2Sat_bounds,125.3831891223733
