model,seed,trajectory_samples,patients_requested,patient_subset_sha256,horizon_hours,metric,value
transformer,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,coverage_90,0.9030354089869232
transformer,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,mean_interval_width_scaled,2.2244240560713844
transformer,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,patient_nll,1.0714968764905761
transformer,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,mask_brier,0.06272155608792165
transformer,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,patient_nmae,0.5296872748563964
transformer,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,patient_crps,0.38770246997207847
transformer,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,coverage_90,0.9165511013741194
transformer,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,mean_interval_width_scaled,2.4556422441368966
transformer,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,patient_nll,1.0744300301680452
transformer,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,mask_brier,0.06789626382456523
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,patient_nmae,0.37217816618125826
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,patient_crps,0.27475915776503895
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,coverage_90,0.9010785191422037
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,mean_interval_width_scaled,1.5717852393924412
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,patient_nll,0.8375964137527243
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,mask_brier,0.06136805995743923
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,patient_nmae,0.41845787415461266
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,patient_crps,0.30603083186835833
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,coverage_90,0.9145519287831658
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,mean_interval_width_scaled,1.8885575305657907
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,patient_nll,0.8342578507757843
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,mask_brier,0.05724489754542797
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,patient_nmae,0.4796672483003199
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,patient_crps,0.3488439251609972
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,coverage_90,0.9069287970341056
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,mean_interval_width_scaled,2.0667322200234097
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,patient_nll,0.9960748370424933
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,mask_brier,0.05995849251070187
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,patient_nmae,0.5020466489655364
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,patient_crps,0.36517617959688786
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,coverage_90,0.919534582301224
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,mean_interval_width_scaled,2.284370672430277
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,patient_nll,1.0599357887589895
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,mask_brier,0.062453416972205654
