evaluation,split,model,horizon_hours,metric,seeds,mean,standard_deviation,minimum,maximum
zero_shot,external_test,rssm,1,mean_interval_width_scaled,5,0.9753953747179661,0.015507902296035913,0.9591357698968072,1.000949397305313
zero_shot,external_test,rssm,1,patient_crps,5,0.38588282127633144,0.01276168759872461,0.36571240171618513,0.39589107784005345
zero_shot,external_test,rssm,1,patient_nll,5,2.2865837746376196,0.12965013884638094,2.1284783210899896,2.4120722786945112
zero_shot,external_test,rssm,1,patient_nmae,5,0.49575399947802967,0.014247986046161275,0.4724652250779914,0.5067167954037244
zero_shot,external_test,rssm,3,coverage_90,5,0.5317370148880989,0.012351616649597726,0.5183826111360026,0.5442507553957218
zero_shot,external_test,rssm,3,coverage_error_90,5,0.36826298511190114,0.012351616649597726,0.35574924460427826,0.38161738886399743
zero_shot,external_test,rssm,3,mask_brier,5,0.06716127127981725,0.00042663189276716793,0.06671539454990111,0.06786144357887587
zero_shot,external_test,rssm,3,mean_interval_width_scaled,5,0.9915352267121017,0.018273820525161605,0.9733774813246676,1.0178255322639074
zero_shot,external_test,rssm,3,patient_crps,5,0.43102706639569266,0.008545682681665553,0.41712492046589966,0.4385170664069777
zero_shot,external_test,rssm,3,patient_nll,5,2.6574142759788084,0.14066931731701718,2.510921505087859,2.8315820280178596
zero_shot,external_test,rssm,3,patient_nmae,5,0.5477926823286561,0.008960026327336184,0.5326613785467531,0.555051033219214
zero_shot,external_test,rssm,6,coverage_90,5,0.5073723457341814,0.011731697947277945,0.49360526005337063,0.5240936658075839
zero_shot,external_test,rssm,6,coverage_error_90,5,0.3926276542658186,0.011731697947277945,0.37590633419241615,0.4063947399466294
zero_shot,external_test,rssm,6,mask_brier,5,0.06569005092223931,0.00039548122870858483,0.06540394140335895,0.06636681708306937
zero_shot,external_test,rssm,6,mean_interval_width_scaled,5,1.0065562951675218,0.02447779033189718,0.983834275733237,1.0371673562987993
zero_shot,external_test,rssm,6,patient_crps,5,0.4679154020135711,0.006640643414484377,0.4565743370988302,0.47355333230340857
zero_shot,external_test,rssm,6,patient_nll,5,3.0404563416909594,0.16237881817097277,2.816160627400905,3.2461896319607857
zero_shot,external_test,rssm,6,patient_nmae,5,0.5900933976352772,0.00569256914770704,0.5801877267803823,0.594331488308827
zero_shot,external_test,rssm,12,coverage_90,5,0.4980992063853261,0.014937147458831734,0.484016056332391,0.5222836585512867
zero_shot,external_test,rssm,12,coverage_error_90,5,0.4019007936146739,0.014937147458831734,0.37771634144871336,0.41598394366760905
zero_shot,external_test,rssm,12,mask_brier,5,0.06451773984063283,0.0003747265577769683,0.06409915874342798,0.06512061852069147
zero_shot,external_test,rssm,12,mean_interval_width_scaled,5,1.0268797877251292,0.03963896607990177,0.9939222119493932,1.090227015015117
zero_shot,external_test,rssm,12,patient_crps,5,0.4956887318482659,0.0064822896643936525,0.48676054871421215,0.502164026371456
zero_shot,external_test,rssm,12,patient_nll,5,3.2855511800886923,0.26247394426151077,2.879795091091272,3.5574461176077152
zero_shot,external_test,rssm,12,patient_nmae,5,0.6219893636846971,0.004735264859389888,0.6164592914671947,0.6271200874082716
zero_shot,external_test,rssm,24,coverage_90,5,0.48768581709827813,0.020402077682052943,0.46866709631716463,0.5204199463844712
zero_shot,external_test,rssm,24,coverage_error_90,5,0.4123141829017219,0.020402077682052943,0.3795800536155288,0.4313329036828354
zero_shot,external_test,rssm,24,mask_brier,5,0.0676030231509391,0.0004081350279032648,0.06700765342657315,0.06805376466832488
zero_shot,external_test,rssm,24,mean_interval_width_scaled,5,1.0439468627827624,0.05390055053990756,0.9944422840265885,1.1335237225785346
zero_shot,external_test,rssm,24,patient_crps,5,0.5236822091798825,0.00980326772533101,0.514004743935717,0.537555953742621
zero_shot,external_test,rssm,24,patient_nll,5,3.6564783758487875,0.3799381794376715,3.0942918451405137,4.077711391973478
zero_shot,external_test,rssm,24,patient_nmae,5,0.6538996623407353,0.008073546874273954,0.6437266358440143,0.6660697944182624
zero_shot,external_test,transformer,1,coverage_90,5,0.854022829305239,0.008471569000929203,0.8405295847085889,0.8627606489092551
zero_shot,external_test,transformer,1,coverage_error_90,5,0.045977170694760906,0.008471569000929203,0.03723935109074494,0.05947041529141117
zero_shot,external_test,transformer,1,mask_brier,5,0.06294795111880871,0.00043536327926401114,0.0624071682227344,0.06346717490340813
zero_shot,external_test,transformer,1,mean_interval_width_scaled,5,1.437180496091458,0.044305926470226395,1.3666338055045082,1.4835094414806038
zero_shot,external_test,transformer,1,patient_crps,5,0.2828330231707663,0.0015235064871129825,0.2805262879292579,0.2845963735406883
zero_shot,external_test,transformer,1,patient_nll,5,0.7828766592726595,0.006366527308350592,0.7755400114179277,0.7917505798775886
zero_shot,external_test,transformer,1,patient_nmae,5,0.3768364433340277,0.0015721574695046847,0.3745293300704606,0.3786294081331854
zero_shot,external_test,transformer,3,coverage_90,5,0.8630869673011947,0.009855461014313624,0.8482339228569173,0.8738430499479526
zero_shot,external_test,transformer,3,coverage_error_90,5,0.036913032698805234,0.009855461014313624,0.026156950052047434,0.05176607714308268
zero_shot,external_test,transformer,3,mask_brier,5,0.05976535517339071,0.0008139713728125867,0.058897939323009435,0.06083670868579314
zero_shot,external_test,transformer,3,mean_interval_width_scaled,5,1.7324736728058674,0.06072278703226219,1.6454871298423512,1.803531808054959
zero_shot,external_test,transformer,3,patient_crps,5,0.32626949014132317,0.0018813560026672853,0.3239796754109696,0.32856160431011544
zero_shot,external_test,transformer,3,patient_nll,5,0.8993711316094736,0.004652794186767596,0.8930389117940881,0.9048553409164377
zero_shot,external_test,transformer,3,patient_nmae,5,0.4388629320459453,0.0019430724788166399,0.4368195496153101,0.44164726807108323
zero_shot,external_test,transformer,6,coverage_90,5,0.8596712787740748,0.011418433857965055,0.8436084004890093,0.8736095296711026
zero_shot,external_test,transformer,6,coverage_error_90,5,0.040328721225925325,0.011418433857965055,0.02639047032889741,0.05639159951099071
zero_shot,external_test,transformer,6,mask_brier,5,0.060956103766585126,0.0011770529537093388,0.05946942304979534,0.062194091521001416
zero_shot,external_test,transformer,6,mean_interval_width_scaled,5,1.9065933914743916,0.07886755921646481,1.799251125330193,2.010373942674606
zero_shot,external_test,transformer,6,patient_crps,5,0.35805754867006784,0.002260243318400405,0.35520181204810763,0.3608466401383401
zero_shot,external_test,transformer,6,patient_nll,5,1.0116643440590916,0.006712391581649723,1.004221377950677,1.02181739419723
zero_shot,external_test,transformer,6,patient_nmae,5,0.48352625979801156,0.002544438802293991,0.48076910303825693,0.487355493209532
zero_shot,external_test,transformer,12,coverage_90,5,0.8673325248731064,0.012262571379678198,0.8501597498617285,0.8840027553479599
zero_shot,external_test,transformer,12,coverage_error_90,5,0.032667475126893566,0.012262571379678198,0.01599724465204011,0.049840250138271536
zero_shot,external_test,transformer,12,mask_brier,5,0.06278508197332443,0.0011193119407170778,0.06153094563450335,0.06424789274358035
zero_shot,external_test,transformer,12,mean_interval_width_scaled,5,2.1120364382570993,0.10042794934349329,1.9860247751594453,2.2590071751723872
zero_shot,external_test,transformer,12,patient_crps,5,0.385114126157478,0.0031176310155553956,0.38147646110804717,0.38973992556424897
zero_shot,external_test,transformer,12,patient_nll,5,1.092684542624846,0.004635445508052955,1.0879673821076676,1.0993425044124265
zero_shot,external_test,transformer,12,patient_nmae,5,0.5207278077166555,0.0038319023339737843,0.517779334841175,0.5273265003742187
zero_shot,external_test,transformer,24,coverage_90,5,0.8730829879100446,0.011768523151431582,0.8573476885008874,0.8903436129650332
zero_shot,external_test,transformer,24,coverage_error_90,5,0.026917012089955405,0.011768523151431582,0.009656387034966851,0.04265231149911264
zero_shot,external_test,transformer,24,mask_brier,5,0.06966681181447507,0.0012589238957628895,0.06838359683483805,0.07147733189824054
zero_shot,external_test,transformer,24,mean_interval_width_scaled,5,2.3191846374190517,0.12564661218748285,2.172139653192228,2.517881847868565
zero_shot,external_test,transformer,24,patient_crps,5,0.4146798851743667,0.005243237813599977,0.4085588092673036,0.4227618423106968
zero_shot,external_test,transformer,24,patient_nll,5,1.1801059560332032,0.005876264037888668,1.1750848112858132,1.188220885531957
zero_shot,external_test,transformer,24,patient_nmae,5,0.5590982200835957,0.006188826669227511,0.5534502483930864,0.5696882785758006
zero_shot,internal_test,grud,1,coverage_90,5,0.8631431289773619,0.004355063115095921,0.8580850335338372,0.8697203027798476
zero_shot,internal_test,grud,1,coverage_error_90,5,0.036856871022638085,0.004355063115095921,0.030279697220152446,0.04191496646616277
zero_shot,internal_test,grud,1,mask_brier,5,0.07665165498303167,0.00015561014214397818,0.07646053457138693,0.07681946312690897
zero_shot,internal_test,grud,1,mean_interval_width_scaled,5,1.3856289578514773,0.02391863218455635,1.3599064001332193,1.4175601947334127
zero_shot,internal_test,grud,1,patient_crps,5,0.2639582652641369,0.0009003372463972818,0.26264079077657243,0.26479775062255073
zero_shot,internal_test,grud,1,patient_nll,5,0.6469098314797072,0.0057722084923701655,0.6402471451872825,0.6524306967221273
zero_shot,internal_test,grud,1,patient_nmae,5,0.35165267025168995,0.0006963398672500992,0.35054337499831656,0.3522925891956311
zero_shot,internal_test,grud,3,coverage_90,5,0.8527640536927746,0.006696632280881085,0.8438631690873238,0.8595525474584228
zero_shot,internal_test,grud,3,coverage_error_90,5,0.04723594630722534,0.006696632280881085,0.04044745254157722,0.05613683091267618
zero_shot,internal_test,grud,3,mask_brier,5,0.07721083032919376,0.000153378657293835,0.0770841813265207,0.07747638717444211
zero_shot,internal_test,grud,3,mean_interval_width_scaled,5,1.5665092588010754,0.025959779943003605,1.534628862050578,1.5978621700725077
zero_shot,internal_test,grud,3,patient_crps,5,0.30635089678279864,0.00045522941353121294,0.3058338576485548,0.30686189122671187
zero_shot,internal_test,grud,3,patient_nll,5,0.8291380891921539,0.0070927956005485335,0.8215029211551346,0.8398960868425277
zero_shot,internal_test,grud,3,patient_nmae,5,0.41229257611116354,0.000539552347015275,0.4115486693255626,0.412955789704769
zero_shot,internal_test,grud,6,coverage_90,5,0.8475013074412384,0.006398959570882242,0.8376672742930873,0.8536107180630377
zero_shot,internal_test,grud,6,coverage_error_90,5,0.052498692558761495,0.006398959570882242,0.046389281936962345,0.06233272570691273
