evaluation,split,model,horizon_hours,metric,seeds,mean,standard_deviation,minimum,maximum
zero_shot,external_test,rssm,1,mean_interval_width_scaled,5,0.9753953747179661,0.015507902296035821,0.9591357698968072,1.0009493973053127
zero_shot,external_test,rssm,1,patient_nll,5,2.2865837746376196,0.12965013884638096,2.1284783210899896,2.4120722786945112
zero_shot,external_test,rssm,1,mask_brier,5,0.07149348035404479,0.0004483490201628988,0.07095631575463396,0.07219368080249948
zero_shot,external_test,rssm,1,coverage_error_90,5,0.3274530330769613,0.01552670923228649,0.3114353447574312,0.3453644380114983
zero_shot,external_test,rssm,3,patient_nmae,5,0.5477926823286562,0.008960026327336184,0.5326613785467531,0.555051033219214
zero_shot,external_test,rssm,3,patient_crps,5,0.43102706639569266,0.008545682681665574,0.4171249204658996,0.4385170664069777
zero_shot,external_test,rssm,3,coverage_90,5,0.5317370148880989,0.012351616649597726,0.5183826111360026,0.5442507553957218
zero_shot,external_test,rssm,3,mean_interval_width_scaled,5,0.9915352267121017,0.01827382052516157,0.9733774813246678,1.0178255322639074
zero_shot,external_test,rssm,3,patient_nll,5,2.6574142759788084,0.14066931731701743,2.510921505087859,2.83158202801786
zero_shot,external_test,rssm,3,mask_brier,5,0.0671612712798172,0.0004266318927671736,0.06671539454990105,0.06786144357887583
zero_shot,external_test,rssm,3,coverage_error_90,5,0.36826298511190114,0.012351616649597726,0.35574924460427826,0.38161738886399743
zero_shot,external_test,rssm,6,patient_nmae,5,0.5900933976352774,0.00569256914770704,0.5801877267803823,0.594331488308827
zero_shot,external_test,rssm,6,patient_crps,5,0.4679154020135711,0.006640643414484362,0.4565743370988302,0.47355333230340857
zero_shot,external_test,rssm,6,coverage_90,5,0.5073723457341816,0.011731697947277908,0.49360526005337063,0.5240936658075838
zero_shot,external_test,rssm,6,mean_interval_width_scaled,5,1.0065562951675218,0.02447779033189708,0.9838342757332372,1.0371673562987993
zero_shot,external_test,rssm,6,patient_nll,5,3.040456341690959,0.16237881817097277,2.816160627400905,3.2461896319607857
zero_shot,external_test,rssm,6,mask_brier,5,0.06569005092223926,0.0003954812287085874,0.06540394140335891,0.06636681708306932
zero_shot,external_test,rssm,6,coverage_error_90,5,0.3926276542658186,0.011731697947277908,0.37590633419241626,0.4063947399466294
zero_shot,external_test,rssm,12,patient_nmae,5,0.6219893636846971,0.004735264859389825,0.6164592914671948,0.6271200874082715
zero_shot,external_test,rssm,12,patient_crps,5,0.4956887318482659,0.0064822896643936525,0.48676054871421215,0.502164026371456
zero_shot,external_test,rssm,12,coverage_90,5,0.4980992063853261,0.014937147458831804,0.48401605633239086,0.5222836585512868
zero_shot,external_test,rssm,12,mean_interval_width_scaled,5,1.0268797877251292,0.039638966079901736,0.9939222119493932,1.090227015015117
zero_shot,external_test,rssm,12,patient_nll,5,3.2855511800886923,0.26247394426151077,2.879795091091272,3.5574461176077152
zero_shot,external_test,rssm,12,mask_brier,5,0.06451773984063278,0.0003747265577769683,0.06409915874342793,0.06512061852069143
zero_shot,external_test,rssm,12,coverage_error_90,5,0.401900793614674,0.014937147458831804,0.37771634144871324,0.41598394366760916
zero_shot,external_test,rssm,24,patient_nmae,5,0.6538996623407353,0.008073546874274036,0.6437266358440142,0.6660697944182625
zero_shot,external_test,rssm,24,patient_crps,5,0.5236822091798825,0.009803267725330972,0.514004743935717,0.537555953742621
zero_shot,external_test,rssm,24,coverage_90,5,0.48768581709827813,0.020402077682052943,0.46866709631716463,0.5204199463844712
zero_shot,external_test,rssm,24,mean_interval_width_scaled,5,1.0439468627827622,0.05390055053990754,0.9944422840265885,1.1335237225785346
zero_shot,external_test,rssm,24,patient_nll,5,3.6564783758487884,0.3799381794376715,3.0942918451405137,4.077711391973478
zero_shot,external_test,rssm,24,mask_brier,5,0.06760302315093907,0.0004081350279032586,0.06700765342657311,0.06805376466832483
zero_shot,external_test,rssm,24,coverage_error_90,5,0.4123141829017219,0.020402077682052943,0.3795800536155288,0.4313329036828354
zero_shot,external_test,transformer,1,patient_nmae,5,0.37683644333402766,0.0015721574695046652,0.3745293300704606,0.37862940813318535
zero_shot,external_test,transformer,1,patient_crps,5,0.2828330231707662,0.0015235064871129778,0.2805262879292578,0.28459637354068823
zero_shot,external_test,transformer,1,coverage_90,5,0.854022829305239,0.008471569000929189,0.8405295847085889,0.8627606489092551
zero_shot,external_test,transformer,1,mean_interval_width_scaled,5,1.437180496091458,0.044305926470226395,1.3666338055045082,1.4835094414806038
zero_shot,external_test,transformer,1,patient_nll,5,0.7828766592726595,0.006366527308350587,0.7755400114179277,0.7917505798775886
zero_shot,external_test,transformer,1,mask_brier,5,0.06294795111880867,0.000435363279264007,0.06240716822273436,0.06346717490340807
zero_shot,external_test,transformer,1,coverage_error_90,5,0.04597717069476093,0.008471569000929189,0.03723935109074494,0.05947041529141117
zero_shot,external_test,transformer,3,patient_nmae,5,0.4388629320459453,0.0019430724788166399,0.4368195496153101,0.44164726807108323
zero_shot,external_test,transformer,3,patient_crps,5,0.3262694901413231,0.0018813560026673135,0.3239796754109696,0.3285616043101155
zero_shot,external_test,transformer,3,coverage_90,5,0.8630869673011947,0.00985546101431361,0.8482339228569173,0.8738430499479526
zero_shot,external_test,transformer,3,mean_interval_width_scaled,5,1.7324736728058678,0.060722787032262034,1.6454871298423517,1.803531808054959
zero_shot,external_test,transformer,3,patient_nll,5,0.8993711316094736,0.004652794186767483,0.8930389117940883,0.9048553409164377
zero_shot,external_test,transformer,3,mask_brier,5,0.05976535517339067,0.0008139713728125856,0.058897939323009386,0.06083670868579309
zero_shot,external_test,transformer,3,coverage_error_90,5,0.03691303269880528,0.00985546101431361,0.026156950052047434,0.05176607714308268
zero_shot,external_test,transformer,6,patient_nmae,5,0.4835262597980116,0.002544438802294008,0.4807691030382569,0.487355493209532
zero_shot,external_test,transformer,6,patient_crps,5,0.35805754867006784,0.0022602433184004153,0.35520181204810763,0.3608466401383401
zero_shot,external_test,transformer,6,coverage_90,5,0.8596712787740746,0.011418433857965133,0.8436084004890091,0.8736095296711026
zero_shot,external_test,transformer,6,mean_interval_width_scaled,5,1.9065933914743916,0.07886755921646475,1.799251125330193,2.010373942674606
zero_shot,external_test,transformer,6,patient_nll,5,1.0116643440590916,0.006712391581649759,1.004221377950677,1.02181739419723
zero_shot,external_test,transformer,6,mask_brier,5,0.06095610376658508,0.0011770529537093353,0.0594694230497953,0.06219409152100136
zero_shot,external_test,transformer,6,coverage_error_90,5,0.04032872122592537,0.011418433857965133,0.02639047032889741,0.05639159951099093
zero_shot,external_test,transformer,12,patient_nmae,5,0.5207278077166555,0.0038319023339737366,0.517779334841175,0.5273265003742186
zero_shot,external_test,transformer,12,patient_crps,5,0.385114126157478,0.003117631015555412,0.3814764611080471,0.38973992556424897
zero_shot,external_test,transformer,12,coverage_90,5,0.8673325248731064,0.012262571379678193,0.8501597498617285,0.8840027553479599
zero_shot,external_test,transformer,12,mean_interval_width_scaled,5,2.1120364382570993,0.10042794934349335,1.9860247751594453,2.2590071751723872
zero_shot,external_test,transformer,12,patient_nll,5,1.0926845426248457,0.004635445508053011,1.0879673821076674,1.0993425044124265
zero_shot,external_test,transformer,12,mask_brier,5,0.0627850819733244,0.0011193119407170821,0.06153094563450331,0.06424789274358032
zero_shot,external_test,transformer,12,coverage_error_90,5,0.03266747512689361,0.012262571379678193,0.01599724465204011,0.049840250138271536
zero_shot,external_test,transformer,24,patient_nmae,5,0.5590982200835957,0.0061888266692274995,0.5534502483930864,0.5696882785758006
zero_shot,external_test,transformer,24,patient_crps,5,0.4146798851743666,0.005243237813599968,0.4085588092673036,0.4227618423106968
zero_shot,external_test,transformer,24,coverage_90,5,0.8730829879100446,0.011768523151431554,0.8573476885008874,0.8903436129650331
zero_shot,external_test,transformer,24,mean_interval_width_scaled,5,2.3191846374190517,0.1256466121874829,2.172139653192228,2.517881847868565
zero_shot,external_test,transformer,24,patient_nll,5,1.1801059560332035,0.005876264037888745,1.1750848112858132,1.1882208855319571
zero_shot,external_test,transformer,24,mask_brier,5,0.06966681181447502,0.0012589238957628915,0.06838359683483801,0.0714773318982405
zero_shot,external_test,transformer,24,coverage_error_90,5,0.02691701208995547,0.011768523151431554,0.009656387034966962,0.04265231149911264
zero_shot,internal_test,grud,1,patient_nmae,5,0.35165267025168995,0.0006963398672500992,0.35054337499831656,0.3522925891956311
zero_shot,internal_test,grud,1,patient_crps,5,0.26395826526413685,0.0009003372463972741,0.2626407907765724,0.2647977506225507
zero_shot,internal_test,grud,1,coverage_90,5,0.8631431289773619,0.004355063115095889,0.8580850335338374,0.8697203027798476
zero_shot,internal_test,grud,1,mean_interval_width_scaled,5,1.385628957851477,0.023918632184556275,1.3599064001332193,1.4175601947334124
zero_shot,internal_test,grud,1,patient_nll,5,0.6469098314797072,0.005772208492370155,0.6402471451872825,0.6524306967221273
zero_shot,internal_test,grud,1,mask_brier,5,0.07665165498303164,0.00015561014214397856,0.07646053457138689,0.07681946312690893
zero_shot,internal_test,grud,1,coverage_error_90,5,0.03685687102263806,0.004355063115095889,0.030279697220152446,0.04191496646616266
zero_shot,internal_test,grud,3,patient_nmae,5,0.41229257611116343,0.000539552347015234,0.4115486693255626,0.41295578970476887
zero_shot,internal_test,grud,3,patient_crps,5,0.3063508967827986,0.0004552294135312115,0.3058338576485548,0.30686189122671187
zero_shot,internal_test,grud,3,coverage_90,5,0.8527640536927746,0.006696632280880992,0.8438631690873241,0.8595525474584228
zero_shot,internal_test,grud,3,mean_interval_width_scaled,5,1.5665092588010752,0.025959779943003646,1.534628862050578,1.5978621700725077
zero_shot,internal_test,grud,3,patient_nll,5,0.8291380891921539,0.0070927956005485335,0.8215029211551346,0.8398960868425277
zero_shot,internal_test,grud,3,mask_brier,5,0.07721083032919371,0.00015337865729383115,0.07708418132652066,0.07747638717444205
zero_shot,internal_test,grud,3,coverage_error_90,5,0.04723594630722534,0.006696632280880992,0.04044745254157722,0.05613683091267596
zero_shot,internal_test,grud,6,patient_nmae,5,0.45423999578101315,0.0017614225441539484,0.4520064820892951,0.45673371832821924
zero_shot,internal_test,grud,6,patient_crps,5,0.33542944486795995,0.001095747339488245,0.33414536072905243,0.3369380216354827
zero_shot,internal_test,grud,6,coverage_90,5,0.8475013074412384,0.006398959570882195,0.8376672742930873,0.8536107180630377
