evaluation,split,model,seed,horizon_hours,patient_nmae,patient_crps,coverage_90,mean_interval_width_scaled,patient_nll,mask_brier,coverage_error_90
recalibrated,external_test,rssm,20260914,1,0.5067167952685495,0.38811595664235576,0.8973364845486278,2.3309896285549576,1.0729580953929077,0.07142919059901946,0.0026635154513722226
recalibrated,external_test,rssm,20260914,3,0.5550510329137057,0.41936766050248786,0.8728843925687505,2.340786147344258,1.1586740144855574,0.06709588307217346,0.027115607431249522
recalibrated,external_test,rssm,20260914,6,0.5943314882487896,0.4499924536599746,0.8780901537796816,2.5569080889517513,1.2316461394766463,0.06558740077750895,0.02190984622031844
recalibrated,external_test,rssm,20260914,12,0.6254974780638867,0.47452468815165233,0.8793851085533778,2.696511493251005,1.288927461206289,0.06437066944239465,0.020614891446622208
recalibrated,external_test,rssm,20260914,24,0.6550720013672785,0.4976704872980339,0.8762765365258466,2.7903701889344967,1.3586752538443334,0.06743024856166835,0.02372346347415344
recalibrated,external_test,rssm,20260915,1,0.47246522578619393,0.36305537686409095,0.9001416647613001,2.202784127719818,1.008960687045537,0.07153419707478027,0.00014166476130006433
recalibrated,external_test,rssm,20260915,3,0.5326613783018294,0.40244560658090495,0.8728799015645063,2.25164765480269,1.1196066701624978,0.06715872289745038,0.027120098435493678
recalibrated,external_test,rssm,20260915,6,0.5801877264046017,0.4375462878743625,0.8779293340042171,2.4928392432668995,1.2078448100367265,0.06567593145316221,0.02207066599578289
recalibrated,external_test,rssm,20260915,12,0.6176380329540859,0.46495516643381873,0.8765541847355749,2.617221277458773,1.2682993333593382,0.0645176262609183,0.02344581526442513
recalibrated,external_test,rssm,20260915,24,0.6511468252045164,0.49165889188896994,0.8813238164036129,2.78975453292285,1.3400459473531983,0.06764247595664524,0.01867618359638712
recalibrated,external_test,rssm,20260916,1,0.5006341311755295,0.38462576890104566,0.8987583754885737,2.29401205539672,1.068609842252279,0.07095631575463396,0.001241624511426287
recalibrated,external_test,rssm,20260916,3,0.5495835386382584,0.4168849744247712,0.8782269487520509,2.3484019359746706,1.1473973025206188,0.06671539454990105,0.02177305124794915
recalibrated,external_test,rssm,20260916,6,0.5930889905881812,0.45086415791717943,0.8849329604477437,2.604219759485006,1.2259793458934594,0.06540394140335891,0.0150670395522563
recalibrated,external_test,rssm,20260916,12,0.6271200871891894,0.47727355450215553,0.8830922009635738,2.7442115090144195,1.2918579921752658,0.06448062623573159,0.016907799036426252
recalibrated,external_test,rssm,20260916,24,0.6660697940939593,0.5057933682462532,0.8760735014521259,2.8347340641586865,1.3607880702512078,0.06788097314148378,0.023926498547874098
recalibrated,external_test,transformer,20260912,1,0.3762525927301835,0.287671491789773,0.8993098489891903,1.7022550898005429,0.7514398173559961,0.06240716822273436,0.0006901510108097142
recalibrated,external_test,transformer,20260912,3,0.43720517335556913,0.3268731951067192,0.8814231006431448,1.8413628179670267,0.8885873461552704,0.05899737917992634,0.018576899356855248
recalibrated,external_test,transformer,20260912,6,0.48170002260671074,0.36088906451859903,0.8936582763863935,2.139810458229085,1.0042841453260614,0.05995820868455798,0.00634172361360652
recalibrated,external_test,transformer,20260912,12,0.5186350329575298,0.38636535081018886,0.8893976924918794,2.2589438782865283,1.0841919790177987,0.06179497627809255,0.010602307508120634
recalibrated,external_test,transformer,20260912,24,0.5566634203997427,0.4135723864188611,0.880540629681884,2.3566252281691202,1.1810953586373405,0.06856043082124248,0.019459370318116065
recalibrated,external_test,transformer,20260913,1,0.3786294081809303,0.28950957915879516,0.9015876371811596,1.7196384492271377,0.7672303591184059,0.0633164108664376,0.001587637181159618
recalibrated,external_test,transformer,20260913,3,0.4416472680412595,0.32924661543246875,0.8802956762232194,1.8441706824821698,0.900762576758199,0.058897939323009386,0.019704323776780663
recalibrated,external_test,transformer,20260913,6,0.4873554938477696,0.3634081172740353,0.8926286016291433,2.1514728881098297,1.011749113361533,0.0594694230497953,0.007371398370856763
recalibrated,external_test,transformer,20260913,12,0.5273265004021508,0.39060553091049705,0.8898499086194315,2.30596138786954,1.0999775843280164,0.06153094563450331,0.010150091380568549
recalibrated,external_test,transformer,20260913,24,0.5696882785020309,0.4212586771359841,0.8818508108751988,2.43748895810453,1.1871874124174242,0.07006403099869124,0.018149189124801235
recalibrated,external_test,transformer,20260914,1,0.3769351437009843,0.2881641086733599,0.9001635704980572,1.7038662753525358,0.7562499801607666,0.06278431531144235,0.00016357049805715285
recalibrated,external_test,transformer,20260914,3,0.43937496459919884,0.3282408287968981,0.8780085476605201,1.8238463582259286,0.8907390429290876,0.06002358115944033,0.021991452339479967
recalibrated,external_test,transformer,20260914,6,0.48398148463293106,0.3623479215708025,0.8898559836583468,2.1197363798991096,1.001659659332954,0.06169384410508503,0.010144016341653184
recalibrated,external_test,transformer,20260914,12,0.520621819065988,0.3878922416083987,0.8868207047236025,2.2642485053744186,1.0909824982496306,0.06309475169586026,0.013179295276397496
recalibrated,external_test,transformer,20260914,24,0.5576373507753078,0.4151326048237674,0.8818569419098736,2.381107985436863,1.1739461295609126,0.06838359683483801,0.018143058090126396
recalibrated,external_test,transformer,20260915,1,0.3778357422851455,0.2887628599953456,0.9012832910192948,1.7135689305804611,0.7589312103824832,0.06276468629002097,0.0012832910192948077
recalibrated,external_test,transformer,20260915,3,0.4392677050585067,0.3281572984321024,0.8801020486542824,1.832404711392077,0.8953300341553875,0.06007116751878419,0.01989795134571759
recalibrated,external_test,transformer,20260915,6,0.48382519547203146,0.36080935259062247,0.8828175390689014,2.054772240461316,1.00196138180819,0.06146495147248573,0.017182460931098653
recalibrated,external_test,transformer,20260915,12,0.5192763517241253,0.3871242008013679,0.8815198275533258,2.214188124658822,1.0856995423857956,0.06325684351458553,0.018480172446674215
recalibrated,external_test,transformer,20260915,24,0.5580518022314668,0.4164362189980062,0.8785675623951548,2.353710382656363,1.1738259954947543,0.06984866851936287,0.021432437604845256
recalibrated,external_test,transformer,20260916,1,0.3745293304576786,0.2876249615899497,0.906299536124898,1.7410583004907794,0.751778007542441,0.06346717490340807,0.006299536124897975
recalibrated,external_test,transformer,20260916,3,0.436819549518199,0.32632457638573587,0.8780811890251141,1.8170536073271664,0.8895619375077053,0.06083670868579309,0.021918810974885905
recalibrated,external_test,transformer,20260916,6,0.4807691029120544,0.35864562985519427,0.8826456821997765,2.0514847175107334,1.0020752416619372,0.06219409152100136,0.017354317800223562
recalibrated,external_test,transformer,20260916,12,0.5177793354344691,0.38507980051978274,0.8854437326541017,2.2343666549465877,1.0822131965245863,0.06424789274358032,0.014556267345898322
recalibrated,external_test,transformer,20260916,24,0.5534502486112906,0.411508215327098,0.8839490716062426,2.370145300055907,1.1676901135073572,0.0714773318982405,0.016050928393757435
zero_shot,external_test,global_median,-1,1,0.6633621348717863,,,,,,
zero_shot,external_test,global_median,-1,3,0.6639278444566871,,,,,,
zero_shot,external_test,global_median,-1,6,0.6658232321325104,,,,,,
zero_shot,external_test,global_median,-1,12,0.6634230813143884,,,,,,
zero_shot,external_test,global_median,-1,24,0.6697730318621201,,,,,,
zero_shot,external_test,grud,20260912,1,0.376249849403773,0.2827254223080289,0.850015227565011,1.4174319914678946,0.7912304911567942,0.06400282892466963,0.049984772434989
zero_shot,external_test,grud,20260912,3,0.4363625925787457,0.32487418188751443,0.8397035150008635,1.5958839417976065,0.9260846620526278,0.061178739686815524,0.060296484999136535
zero_shot,external_test,grud,20260912,6,0.4834918198569465,0.35880865810856566,0.8328847270531285,1.7370805377160483,1.0497645142515752,0.06242336845285377,0.06711527294687147
zero_shot,external_test,grud,20260912,12,0.5214177430890261,0.38578565432517153,0.8366571445089368,1.8803746375235775,1.1249765791877933,0.06246144555024608,0.06334285549106322
zero_shot,external_test,grud,20260912,24,0.5606425324652764,0.4138696576415087,0.8412525122127538,2.03831836852285,1.2006367818263644,0.06594532485128395,0.058747487787246255
zero_shot,external_test,grud,20260913,1,0.37807037112418734,0.2845556668004875,0.8643158877796997,1.4814858611681476,0.8072967061870351,0.062252530207950386,0.035684112220300324
zero_shot,external_test,grud,20260913,3,0.4374314980750521,0.32602656618549614,0.856294770428159,1.6675258572546008,0.9112816023071431,0.058712223978869216,0.043705229571840976
zero_shot,external_test,grud,20260913,6,0.4834406935830656,0.35831705292354765,0.8505598303287287,1.8218481770300186,1.0236788861630781,0.059265925815294766,0.049440169671271295
zero_shot,external_test,grud,20260913,12,0.521784079225229,0.38537195638321053,0.8531693315672471,1.9701363849300382,1.1009807249814374,0.05893757250653091,0.046830668432752964
zero_shot,external_test,grud,20260913,24,0.5624462118682542,0.415022382243589,0.8525142283203064,2.1094077173084926,1.1883810023455494,0.06335464248015853,0.04748577167969359
zero_shot,external_test,grud,20260914,1,0.37698672620017126,0.28377778804872444,0.8610791998129335,1.468008279885636,0.8128895811893221,0.06338768078127018,0.03892080018706656
zero_shot,external_test,grud,20260914,3,0.43597354339631744,0.32489394140075833,0.8537445074155533,1.6502404519884584,0.9072801079099108,0.06047569339262784,0.04625549258444672
zero_shot,external_test,grud,20260914,6,0.4819988613928114,0.35748385518720804,0.8457986369521476,1.7874465343997554,1.0267775256288842,0.061480238198321234,0.05420136304785239
zero_shot,external_test,grud,20260914,12,0.5197925520773483,0.3836207076119942,0.8462120871048378,1.9238653349506736,1.1085797635850976,0.06144299569206821,0.05378791289516227
zero_shot,external_test,grud,20260914,24,0.5563406045879643,0.4094822975776425,0.8477544857327846,2.0550419144611505,1.1728165350968343,0.06512483990771607,0.052245514267215465
zero_shot,external_test,grud,20260915,1,0.37800821663165707,0.2839191247987397,0.8545211407785517,1.4515567424240414,0.7945534808154768,0.06344356542524446,0.04547885922144834
zero_shot,external_test,grud,20260915,3,0.4379761920083461,0.3251234700095264,0.8464943765809323,1.6247488794266232,0.9166297568581381,0.06103187665873473,0.05350562341906773
zero_shot,external_test,grud,20260915,6,0.48446110213505555,0.3577853377366034,0.8378244886640348,1.7583270902601926,1.0291442544627405,0.06304320400702373,0.06217551133596522
zero_shot,external_test,grud,20260915,12,0.5234771296969704,0.38537096328342874,0.8370830482743614,1.8954440295222796,1.1036535599764483,0.06441513477707758,0.0629169517256386
zero_shot,external_test,grud,20260915,24,0.5642600744053162,0.415038733683962,0.8395757128510978,2.050549815568825,1.1865519227977617,0.06981834930542118,0.060424287148902245
zero_shot,external_test,grud,20260916,1,0.3758353381297128,0.28219351467046516,0.8501610731959164,1.4153593317102773,0.8011424768552761,0.06324627631974607,0.04983892680408364
zero_shot,external_test,grud,20260916,3,0.43594784735228,0.32411322106188906,0.8433128176680483,1.5984343279119717,0.921693615937919,0.05987545360818017,0.05668718233195169
zero_shot,external_test,grud,20260916,6,0.4814560483082449,0.35672033517904794,0.8366808688569171,1.7387502069591325,1.0366123647406225,0.06082252026671488,0.06331913114308296
zero_shot,external_test,grud,20260916,12,0.5213452611032688,0.38468591525361023,0.837732470133859,1.8881279833275317,1.1119544812065556,0.06114139278196673,0.062267529866141036
zero_shot,external_test,grud,20260916,24,0.5599782691194269,0.4126805783979355,0.8416147486455459,2.029864498106113,1.1948451984606125,0.06551030389438739,0.05838525135445416
zero_shot,external_test,hourly_median,-1,1,0.6698902053534631,,,,,,
zero_shot,external_test,hourly_median,-1,3,0.6707439764838267,,,,,,
zero_shot,external_test,hourly_median,-1,6,0.6719050173153197,,,,,,
zero_shot,external_test,hourly_median,-1,12,0.6617272366683973,,,,,,
zero_shot,external_test,hourly_median,-1,24,0.662441769155088,,,,,,
zero_shot,external_test,locf,-1,1,0.38526378215079654,,,,,,
zero_shot,external_test,locf,-1,3,0.4613848849535536,,,,,,
zero_shot,external_test,locf,-1,6,0.5223365130796808,,,,,,
zero_shot,external_test,locf,-1,12,0.5752986591510477,,,,,,
zero_shot,external_test,locf,-1,24,0.6033291539173524,,,,,,
zero_shot,external_test,ridge_var,-1,1,0.3609548725896776,,,,,,
zero_shot,external_test,ridge_var,-1,3,0.42511477798939784,,,,,,
zero_shot,external_test,ridge_var,-1,6,0.47822298411483627,,,,,,
zero_shot,external_test,ridge_var,-1,12,0.5300539742222081,,,,,,
zero_shot,external_test,ridge_var,-1,24,0.5862053668638448,,,,,,
zero_shot,external_test,rssm,20260912,1,0.5064745840552397,0.3958910778400534,0.5546355619885017,0.9591357698968072,2.4120722786945112,0.07219368080249948,0.3453644380114983
zero_shot,external_test,rssm,20260912,3,0.5538157735544204,0.43706168312658417,0.5183826111360026,0.9733774813246678,2.751332831785272,0.06786144357887583,0.38161738886399743
zero_shot,external_test,rssm,20260912,6,0.5907242986871,0.4695556554558052,0.49944144447655825,0.986318713707674,3.097128491027319,0.06636681708306932,0.4005585555234418
zero_shot,external_test,rssm,20260912,12,0.6164592914671948,0.4920772929177891,0.48997293524275665,1.00136481662551,3.3187230294994055,0.06512061852069143,0.4100270647572434
zero_shot,external_test,rssm,20260912,24,0.6437266358440142,0.5152662963782844,0.4846429269040763,1.026280836902535,3.6480146701297325,0.06805376466832483,0.41535707309592373
zero_shot,external_test,rssm,20260913,1,0.492479262217285,0.3812178141206336,0.5855215134850448,1.0009493973053127,2.171246854540188,0.07135401753929078,0.31447848651495525
zero_shot,external_test,rssm,20260913,3,0.5478516878324591,0.42944705385146775,0.540714122599675,1.0178255322639074,2.521972680739165,0.06697491230068528,0.359285877400325
zero_shot,external_test,rssm,20260913,6,0.592134483651656,0.4683589768402866,0.511608957242946,1.0278553580540297,2.954712424098688,0.06541616389409693,0.38839104275705405
zero_shot,external_test,rssm,20260913,12,0.6232319274540873,0.49598156189316733,0.5016539369577618,1.0406137572422112,3.211726822329968,0.06409915874342793,0.3983460630422382
zero_shot,external_test,rssm,20260913,24,0.6534830549903484,0.5227463840363176,0.4914471848427773,1.0498207908595507,3.5405476086165812,0.06700765342657311,0.40855281515722275
zero_shot,external_test,rssm,20260914,1,0.5067167954037244,0.395820973411261,0.5581409223086593,0.9717870271915605,2.3940581423108607,0.07142919059901946,0.3418590776913407
