split,model,horizon_hours,constraint,seeds,mean,standard_deviation,minimum,maximum
internal_test,grud,3,pressure_order,5,108.14894030721368,7.2626314371856,98.15282908808088,114.49543068248104
internal_test,grud,6,FiO2_bounds,5,5.360684425432627,0.7529524858442324,4.569317518957806,6.484542096052888
internal_test,grud,6,O2Sat_bounds,5,135.839004472098,10.069646827771592,123.3229632510208,148.85280964417657
internal_test,grud,6,SaO2_bounds,5,40.75636787867004,1.3249954414416554,39.69473070192495,42.99047248687536
internal_test,grud,6,emitted_FiO2_bounds,5,13.692397433404627,1.970783825804475,11.510791366906474,16.585650398600038
internal_test,grud,6,emitted_O2Sat_bounds,5,136.54287380906084,10.36143340922893,123.81878281158856,150.4374878475598
internal_test,grud,6,emitted_SaO2_bounds,5,193.38712813532956,6.650310600767322,183.1907447015361,199.39723896558428
internal_test,grud,6,emitted_pressure_order,5,155.96733424071553,9.950819119817337,144.08905308185885,163.38712813532956
internal_test,grud,6,pressure_order,5,118.89753062414934,8.898479504919537,106.36787867003694,127.52284658759478
internal_test,grud,12,FiO2_bounds,5,6.0178883919891115,0.6809184784796405,5.2012444098775035,6.747034804588761
internal_test,grud,12,O2Sat_bounds,5,129.7977833949057,14.057850388668253,110.29554734590704,147.25840948862532
internal_test,grud,12,SaO2_bounds,5,62.603538790589155,1.8084346757187608,61.219132801866614,65.75928446432043
internal_test,grud,12,emitted_FiO2_bounds,5,12.926307602566592,1.7656735349418082,11.10246937585067,15.263464903752674
internal_test,grud,12,emitted_O2Sat_bounds,5,130.51915224577095,14.27247875438516,110.92747423682675,148.5125413182967
internal_test,grud,12,emitted_SaO2_bounds,5,191.32218549484736,7.002429996052647,181.13941279408905,196.8403655454015
internal_test,grud,12,emitted_pressure_order,5,163.80322768811976,12.264437058895473,149.46529263076025,175.57845615399572
internal_test,grud,12,pressure_order,5,133.18102274936808,10.572820772285487,119.1425238187828,142.77658953917947
internal_test,grud,24,FiO2_bounds,5,6.282325490958585,0.7777683257848974,5.774839587789228,7.651176356212328
internal_test,grud,24,O2Sat_bounds,5,124.51487458681704,17.522999072277415,97.23896558428932,143.40851643009916
internal_test,grud,24,SaO2_bounds,5,88.21699397238964,1.5316780600826128,86.74897919502236,90.48220882753256
internal_test,grud,24,emitted_FiO2_bounds,5,12.739646120941085,2.025197215169454,10.314991250243049,15.778728368656424
internal_test,grud,24,emitted_O2Sat_bounds,5,125.2517985611511,17.703667690539984,97.67645343184913,144.85708730313047
internal_test,grud,24,emitted_SaO2_bounds,5,187.35951779117246,8.186228374101972,174.47015360684426,194.7890336379545
internal_test,grud,24,emitted_pressure_order,5,171.89966945362627,14.2273215087155,156.98036165662066,190.0349990278048
internal_test,grud,24,pressure_order,5,150.67081469959166,12.983944653465242,135.95177911724673,165.54540151662454
internal_test,hourly_median,1,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,hourly_median,3,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,hourly_median,6,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,hourly_median,12,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,hourly_median,24,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,locf,1,pressure_order,1,44.91541901613844,0.0,44.91541901613844,44.91541901613844
internal_test,locf,3,pressure_order,1,44.91541901613844,0.0,44.91541901613844,44.91541901613844
internal_test,locf,6,pressure_order,1,44.91541901613844,0.0,44.91541901613844,44.91541901613844
internal_test,locf,12,pressure_order,1,44.91541901613844,0.0,44.91541901613844,44.91541901613844
internal_test,locf,24,pressure_order,1,44.91541901613844,0.0,44.91541901613844,44.91541901613844
internal_test,ridge_var,1,pressure_order,1,19.638343379350573,0.0,19.638343379350573,19.638343379350573
internal_test,ridge_var,3,pressure_order,1,11.6663426015944,0.0,11.6663426015944,11.6663426015944
internal_test,ridge_var,6,pressure_order,1,4.277658953917947,0.0,4.277658953917947,4.277658953917947
internal_test,ridge_var,12,pressure_order,1,0.58331713007972,0.0,0.58331713007972,0.58331713007972
internal_test,ridge_var,24,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,rssm,1,FiO2_bounds,5,0.05249854170717474,0.04043677686775309,0.0097219521679953,0.1069414738479486
internal_test,rssm,1,O2Sat_bounds,5,20.0077775617344,8.133930993895369,10.052498541707177,31.139412794089058
internal_test,rssm,1,SaO2_bounds,5,7.956445654287381,1.6494345532258579,5.6970639704452655,9.702508263659343
internal_test,rssm,1,emitted_FiO2_bounds,5,0.4822088275325685,0.25690615011716994,0.2236048998638926,0.9138635037915612
internal_test,rssm,1,emitted_O2Sat_bounds,5,22.60742757145635,9.272608694447072,11.403849893058526,35.60178883919891
internal_test,rssm,1,emitted_SaO2_bounds,5,167.53256853976276,48.501595386332085,103.89850281936612,226.10344157106744
internal_test,rssm,1,emitted_pressure_order,5,0.7913669064748201,0.3904910163351879,0.262492708535874,1.2055220688314214
internal_test,rssm,1,pressure_order,5,19.912502430488043,3.9037929663826407,16.546762589928058,24.178495041804393
internal_test,rssm,3,FiO2_bounds,5,0.10694147384794861,0.08363139477972607,0.029165856503986,0.2236048998638926
internal_test,rssm,3,O2Sat_bounds,5,17.04258215049582,7.411762823285785,8.85669842504375,28.281158856698426
internal_test,rssm,3,SaO2_bounds,5,22.665759284464322,5.458547594521846,15.448181994944584,28.786700369434183
internal_test,rssm,3,emitted_FiO2_bounds,5,0.3441571067470348,0.19463338528084306,0.116663426015944,0.6513707952556873
internal_test,rssm,3,emitted_O2Sat_bounds,5,17.05813727396461,7.543246962102227,8.846976472875754,28.48531985222633
internal_test,rssm,3,emitted_SaO2_bounds,5,166.4378767256465,47.13570549428586,105.8526152051332,225.71456348434765
internal_test,rssm,3,emitted_pressure_order,5,0.466653704063776,0.19673445795107972,0.204160995527902,0.6610927474236826
internal_test,rssm,3,pressure_order,5,6.993972389655843,2.6224648363446246,4.6957028971417465,9.89694730701925
internal_test,rssm,6,FiO2_bounds,5,0.13610733035193462,0.08613671566531864,0.0680536651759673,0.2819366128718646
internal_test,rssm,6,O2Sat_bounds,5,13.700174995139022,7.323409829740123,6.484542096052888,25.55901224965973
internal_test,rssm,6,SaO2_bounds,5,42.66575928446432,10.74552732488315,28.514485708730312,55.37623954890142
internal_test,rssm,6,emitted_FiO2_bounds,5,0.19443904335990664,0.07372035236293557,0.1263853781839393,0.3111024693758507
internal_test,rssm,6,emitted_O2Sat_bounds,5,13.752673536846197,7.43906157695096,6.455376239548902,25.76317324518763
internal_test,rssm,6,emitted_SaO2_bounds,5,166.4437098969473,46.7183642483122,104.74431265798172,225.1993000194439
internal_test,rssm,6,emitted_pressure_order,5,0.3013805172078553,0.17754211907203654,0.0680536651759673,0.5347073692397434
internal_test,rssm,6,pressure_order,5,3.4260159440015547,1.6416805200181466,2.012444098775034,5.337351740229438
internal_test,rssm,12,FiO2_bounds,5,0.14777367295352903,0.06643729171016872,0.0972195216799533,0.2527707563678786
internal_test,rssm,12,O2Sat_bounds,5,11.578845032082443,5.965794178527508,5.6970639704452655,21.077192300213884
internal_test,rssm,12,SaO2_bounds,5,74.45070970250826,19.907017615013313,48.34726813144079,97.62784367100916
internal_test,rssm,12,emitted_FiO2_bounds,5,0.11277464514874583,0.08846442283552267,0.0388878086719813,0.2430488041998833
internal_test,rssm,12,emitted_O2Sat_bounds,5,11.590511374684036,6.054077484612858,5.6970639704452655,21.26190939140579
internal_test,rssm,12,emitted_SaO2_bounds,5,164.8045887614233,45.266952544263724,103.57767839782228,220.6299825004861
internal_test,rssm,12,emitted_pressure_order,5,0.19443904335990664,0.11063393619231038,0.0777756173439626,0.3694341823838227
internal_test,rssm,12,pressure_order,5,2.329379739451682,1.1712350140164214,1.31246354267937,3.704063776006222
internal_test,rssm,24,FiO2_bounds,5,0.0855531790783589,0.05643758613144077,0.0388878086719813,0.174995139023916
internal_test,rssm,24,O2Sat_bounds,5,10.353879058915028,5.0478188191042355,5.269298075053471,18.695314019055026
internal_test,rssm,24,SaO2_bounds,5,114.7579233910169,31.311586447794152,72.97297297297297,150.24304880419987
internal_test,rssm,24,emitted_FiO2_bounds,5,0.07777561734396263,0.035720733172999855,0.0486097608399766,0.1361073303519346
internal_test,rssm,24,emitted_O2Sat_bounds,5,10.349990278047832,5.054791575238972,5.259576122885475,18.685592066887033
internal_test,rssm,24,emitted_SaO2_bounds,5,164.02099941668288,45.87879740845607,100.50554151273576,217.23702119385572
internal_test,rssm,24,emitted_pressure_order,5,0.15944001555512344,0.10302517434757108,0.029165856503986,0.3013805172078553
internal_test,rssm,24,pressure_order,5,1.9035582344934858,1.162076292860506,0.9235854559595568,3.490180828310325
internal_test,transformer,1,FiO2_bounds,5,3.004083219910558,0.22392169563058567,2.673536846198717,3.3054637371184135
internal_test,transformer,1,O2Sat_bounds,5,126.18510596927865,5.290267962760694,118.05366517596734,131.32412988528097
internal_test,transformer,1,SaO2_bounds,5,10.013610733035193,0.5705386253595647,9.02197161189967,10.37332296325102
internal_test,transformer,1,emitted_FiO2_bounds,5,24.491541901613846,3.16205205224719,21.193855726229827,28.52420766089831
internal_test,transformer,1,emitted_O2Sat_bounds,5,139.57223410460819,5.649590275309795,131.0519152245771,144.82792144662648
internal_test,transformer,1,emitted_SaO2_bounds,5,195.12541318296712,2.8253321122800386,191.12385767062025,198.05560956640093
internal_test,transformer,1,emitted_pressure_order,5,141.93855726229827,11.80237065052152,128.46587594789034,154.63737118413377
internal_test,transformer,1,pressure_order,5,93.23157690064166,10.09726042755798,80.51720785533735,105.74567373128524
internal_test,transformer,3,FiO2_bounds,5,5.599844448765312,0.47647484949806923,4.987361462181606,5.97900058331713
internal_test,transformer,3,O2Sat_bounds,5,144.70931363017695,10.124691828559559,128.23254909585845,154.3846004277659
internal_test,transformer,3,SaO2_bounds,5,23.88100330546374,1.2363059147077726,22.428543651565235,25.179856115107913
