evaluation,split,model,seed,horizon_hours,patients,observed_targets
zero_shot,internal_test,grud,20260915,12,1806,34518
zero_shot,internal_test,grud,20260915,24,1773,32924
zero_shot,internal_test,grud,20260916,1,1810,36216
zero_shot,internal_test,grud,20260916,3,1807,36258
zero_shot,internal_test,grud,20260916,6,1796,35149
zero_shot,internal_test,grud,20260916,12,1806,34518
zero_shot,internal_test,grud,20260916,24,1773,32924
zero_shot,internal_test,hourly_median,-1,1,1810,36216
zero_shot,internal_test,hourly_median,-1,3,1807,36258
zero_shot,internal_test,hourly_median,-1,6,1796,35149
zero_shot,internal_test,hourly_median,-1,12,1806,34518
zero_shot,internal_test,hourly_median,-1,24,1773,32924
zero_shot,internal_test,locf,-1,1,1810,36216
zero_shot,internal_test,locf,-1,3,1807,36258
zero_shot,internal_test,locf,-1,6,1796,35149
zero_shot,internal_test,locf,-1,12,1806,34518
zero_shot,internal_test,locf,-1,24,1773,32924
zero_shot,internal_test,ridge_var,-1,1,1810,36216
zero_shot,internal_test,ridge_var,-1,3,1807,36258
zero_shot,internal_test,ridge_var,-1,6,1796,35149
zero_shot,internal_test,ridge_var,-1,12,1806,34518
zero_shot,internal_test,ridge_var,-1,24,1773,32924
zero_shot,internal_test,rssm,20260912,1,1810,36216
zero_shot,internal_test,rssm,20260912,3,1807,36258
zero_shot,internal_test,rssm,20260912,6,1796,35149
zero_shot,internal_test,rssm,20260912,12,1806,34518
zero_shot,internal_test,rssm,20260912,24,1773,32924
zero_shot,internal_test,rssm,20260913,1,1810,36216
zero_shot,internal_test,rssm,20260913,3,1807,36258
zero_shot,internal_test,rssm,20260913,6,1796,35149
zero_shot,internal_test,rssm,20260913,12,1806,34518
zero_shot,internal_test,rssm,20260913,24,1773,32924
zero_shot,internal_test,rssm,20260914,1,1810,36216
zero_shot,internal_test,rssm,20260914,3,1807,36258
zero_shot,internal_test,rssm,20260914,6,1796,35149
zero_shot,internal_test,rssm,20260914,12,1806,34518
zero_shot,internal_test,rssm,20260914,24,1773,32924
zero_shot,internal_test,rssm,20260915,1,1810,36216
zero_shot,internal_test,rssm,20260915,3,1807,36258
zero_shot,internal_test,rssm,20260915,6,1796,35149
zero_shot,internal_test,rssm,20260915,12,1806,34518
zero_shot,internal_test,rssm,20260915,24,1773,32924
zero_shot,internal_test,rssm,20260916,1,1810,36216
zero_shot,internal_test,rssm,20260916,3,1807,36258
zero_shot,internal_test,rssm,20260916,6,1796,35149
zero_shot,internal_test,rssm,20260916,12,1806,34518
zero_shot,internal_test,rssm,20260916,24,1773,32924
zero_shot,internal_test,transformer,20260912,1,1810,36216
zero_shot,internal_test,transformer,20260912,3,1807,36258
zero_shot,internal_test,transformer,20260912,6,1796,35149
zero_shot,internal_test,transformer,20260912,12,1806,34518
zero_shot,internal_test,transformer,20260912,24,1773,32924
zero_shot,internal_test,transformer,20260913,1,1810,36216
zero_shot,internal_test,transformer,20260913,3,1807,36258
zero_shot,internal_test,transformer,20260913,6,1796,35149
zero_shot,internal_test,transformer,20260913,12,1806,34518
zero_shot,internal_test,transformer,20260913,24,1773,32924
zero_shot,internal_test,transformer,20260914,1,1810,36216
zero_shot,internal_test,transformer,20260914,3,1807,36258
zero_shot,internal_test,transformer,20260914,6,1796,35149
zero_shot,internal_test,transformer,20260914,12,1806,34518
zero_shot,internal_test,transformer,20260914,24,1773,32924
zero_shot,internal_test,transformer,20260915,1,1810,36216
zero_shot,internal_test,transformer,20260915,3,1807,36258
zero_shot,internal_test,transformer,20260915,6,1796,35149
zero_shot,internal_test,transformer,20260915,12,1806,34518
zero_shot,internal_test,transformer,20260915,24,1773,32924
zero_shot,internal_test,transformer,20260916,1,1810,36216
zero_shot,internal_test,transformer,20260916,3,1807,36258
zero_shot,internal_test,transformer,20260916,6,1796,35149
zero_shot,internal_test,transformer,20260916,12,1806,34518
zero_shot,internal_test,transformer,20260916,24,1773,32924
